session_id,unit_id,response,defect_occurred_at,defect_caught_at,risk_score,model_confidence,input_trust,effective_trust,action,latest_t,risk_threshold,trust_threshold
0,37,0,,,0.1186,0.72,0.922,0.664,PASS,3199.24,0.6052515672936158,0.5
0,38,0,,,0.0944,0.818,0.922,0.754,PASS,3257.42,0.6052515672936158,0.5
0,39,0,,,0.1046,0.775,0.922,0.714,PASS,3329.13,0.6052515672936158,0.5
0,40,0,,,0.0967,0.81,0.922,0.747,PASS,3392.37,0.6052515672936158,0.5
0,41,0,,,0.1799,0.483,0.922,0.445,MONITOR,3485.09,0.6052515672936158,0.5
0,42,0,,,0.3797,0.092,0.922,0.085,MONITOR,3586.73,0.6052515672936158,0.5
0,43,0,,,0.1727,0.508,0.922,0.468,MONITOR,3638.27,0.6052515672936158,0.5
0,44,0,,,0.2486,0.283,0.921,0.261,MONITOR,3691.76,0.6052515672936158,0.5
0,45,0,,,0.1494,0.595,0.921,0.548,PASS,3816.37,0.6052515672936158,0.5
0,46,0,,,0.0968,0.809,0.921,0.745,PASS,3864.85,0.6052515672936158,0.5
0,47,0,,,0.1575,0.563,0.921,0.519,PASS,3918.07,0.6052515672936158,0.5
0,48,0,,,0.3091,0.17,0.921,0.157,MONITOR,3963.82,0.6052515672936158,0.5
0,49,1,3.0,4.0,0.1445,0.615,0.921,0.567,PASS,4038.99,0.6052515672936158,0.5
0,50,0,,,0.2131,0.376,0.921,0.346,MONITOR,4089.82,0.6052515672936158,0.5
0,51,0,,,0.1655,0.535,0.921,0.493,MONITOR,4154.67,0.6052515672936158,0.5
0,52,0,,,0.1098,0.754,0.921,0.695,PASS,4247.95,0.6052515672936158,0.5
0,53,0,,,0.2364,0.312,0.921,0.287,MONITOR,4299.87,0.6052515672936158,0.5
0,54,0,,,0.2474,0.286,0.921,0.263,MONITOR,4379.1,0.6052515672936158,0.5
0,55,0,,,0.1137,0.739,0.921,0.681,PASS,4451.35,0.6052515672936158,0.5
0,56,0,,,0.1468,0.604,0.921,0.556,PASS,4509.87,0.6052515672936158,0.5
0,57,0,,,0.1588,0.56,0.921,0.516,PASS,4570.11,0.6052515672936158,0.5
0,58,0,,,0.0638,0.926,0.921,0.853,PASS,4679.73,0.6052515672936158,0.5
0,59,0,,,0.0908,0.831,0.921,0.765,PASS,4735.39,0.6052515672936158,0.5
0,60,0,,,0.2096,0.386,0.921,0.355,MONITOR,4819.95,0.6052515672936158,0.5
0,61,0,,,0.242,0.298,0.921,0.274,MONITOR,4886.08,0.6052515672936158,0.5
0,62,0,,,0.1795,0.483,0.921,0.445,MONITOR,4960.85,0.6052515672936158,0.5
0,63,0,,,0.3349,0.136,0.921,0.125,MONITOR,5035.79,0.6052515672936158,0.5
0,64,0,,,0.2511,0.278,0.921,0.256,MONITOR,5120.07,0.6052515672936158,0.5
0,65,0,,,0.1165,0.729,0.921,0.671,PASS,5216.45,0.6052515672936158,0.5
0,66,0,,,0.172,0.51,0.921,0.47,MONITOR,5289.05,0.6052515672936158,0.5
0,67,0,,,0.2879,0.204,0.921,0.188,MONITOR,5368.28,0.6052515672936158,0.5
0,68,0,,,0.4165,0.068,0.921,0.063,MONITOR,5426.72,0.6052515672936158,0.5
0,69,0,,,0.1852,0.465,0.921,0.428,MONITOR,5483.78,0.6052515672936158,0.5
0,70,0,,,0.1545,0.575,0.921,0.529,PASS,5577.37,0.6052515672936158,0.5
0,71,0,,,0.1871,0.459,0.921,0.423,MONITOR,5638.24,0.6052515672936158,0.5
0,72,0,,,0.1369,0.643,0.921,0.592,PASS,5723.8,0.6052515672936158,0.5
0,73,0,,,0.1821,0.476,0.921,0.438,MONITOR,5794.06,0.6052515672936158,0.5
0,74,0,,,0.3749,0.097,0.921,0.089,MONITOR,5878.39,0.6052515672936158,0.5
0,75,0,,,0.1393,0.633,0.921,0.583,PASS,5935.69,0.6052515672936158,0.5
0,76,0,,,0.2707,0.238,0.921,0.219,MONITOR,5999.57,0.6052515672936158,0.5
0,77,0,,,0.0829,0.86,0.921,0.792,PASS,6080.42,0.6052515672936158,0.5
0,78,0,,,0.0672,0.915,0.921,0.842,PASS,6123.37,0.6052515672936158,0.5
0,79,0,,,0.1654,0.535,0.921,0.493,MONITOR,6244.27,0.6052515672936158,0.5
0,80,0,,,0.1622,0.547,0.921,0.504,PASS,6302.82,0.6052515672936158,0.5
0,81,0,,,0.4455,0.052,0.921,0.048,MONITOR,6398.75,0.6052515672936158,0.5
0,82,0,,,0.1486,0.598,0.921,0.551,PASS,6451.06,0.6052515672936158,0.5
0,83,0,,,0.1651,0.537,0.921,0.494,MONITOR,6545.97,0.6052515672936158,0.5
0,84,0,,,0.2483,0.284,0.921,0.261,MONITOR,6607.17,0.6052515672936158,0.5
0,85,0,,,0.0406,0.977,0.921,0.899,PASS,6669.73,0.6052515672936158,0.5
0,86,0,,,0.283,0.213,0.921,0.196,MONITOR,6721.51,0.6052515672936158,0.5
0,87,0,,,0.2515,0.277,0.921,0.255,MONITOR,6758.92,0.6052515672936158,0.5
0,88,0,,,0.2388,0.306,0.921,0.282,MONITOR,6838.03,0.6052515672936158,0.5
0,89,0,,,0.1498,0.593,0.921,0.546,PASS,6898.61,0.6052515672936158,0.5
0,90,0,,,0.2518,0.276,0.921,0.254,MONITOR,6968.47,0.6052515672936158,0.5
0,91,0,,,0.0859,0.85,0.921,0.782,PASS,7041.64,0.6052515672936158,0.5
0,92,0,,,0.2965,0.189,0.921,0.174,MONITOR,7097.46,0.6052515672936158,0.5
0,93,0,,,0.1346,0.651,0.921,0.599,PASS,7151.92,0.6052515672936158,0.5
0,94,0,,,0.126,0.686,0.92,0.631,PASS,7237.42,0.6052515672936158,0.5
0,95,0,,,0.2431,0.296,0.92,0.272,MONITOR,7312.44,0.6052515672936158,0.5
0,96,0,,,0.1652,0.537,0.92,0.494,MONITOR,7407.41,0.6052515672936158,0.5
0,97,0,,,0.1002,0.795,0.92,0.732,PASS,7462.39,0.6052515672936158,0.5
0,98,0,,,0.1367,0.643,0.92,0.592,PASS,7556.94,0.6052515672936158,0.5
0,99,0,,,0.1999,0.417,0.92,0.384,MONITOR,7683.03,0.6052515672936158,0.5
0,100,0,,,0.1506,0.591,0.92,0.544,PASS,7733.35,0.6052515672936158,0.5
0,101,0,,,0.0894,0.837,0.92,0.77,PASS,7781.13,0.6052515672936158,0.5
0,102,0,,,0.1549,0.573,0.92,0.527,PASS,7870.38,0.6052515672936158,0.5
0,103,0,,,0.1631,0.544,0.92,0.501,PASS,7937.95,0.6052515672936158,0.5
