session_id,unit_id,station,t,channel,value_true,value_observed,t_global
0,4,2,295.15,vibration,0.2252,0.2252,295.15
0,4,2,295.15,temperature,71.769,71.769,295.15
0,4,2,295.15,pressure,31.8335,31.8335,295.15
0,4,2,295.15,humidity,45.599,45.599,295.15
0,5,1,295.15,torque,51.4229,51.4229,295.15
0,5,1,295.15,vibration,0.1947,0.1947,295.15
0,5,1,295.15,temperature,71.6638,71.6638,295.15
0,5,1,295.15,pressure,30.5245,30.5245,295.15
0,5,1,295.15,humidity,45.083,45.083,295.15
0,1,6,321.52,torque,51.5004,51.5004,321.52
0,1,6,321.52,vibration,0.2064,0.2064,321.52
0,1,6,321.52,temperature,73.1961,73.1961,321.52
0,1,6,321.52,pressure,30.5421,30.5421,321.52
0,1,6,321.52,humidity,45.4206,45.4206,321.52
0,2,5,326.81,torque,47.6248,47.6248,326.81
0,2,5,326.81,vibration,0.1807,0.1807,326.81
0,2,5,326.81,temperature,72.5105,72.5105,326.81
0,2,5,326.81,pressure,31.8902,31.8902,326.81
0,2,5,326.81,humidity,47.1415,47.1415,326.81
0,3,4,329.23,torque,49.6433,,329.23
0,3,4,329.23,vibration,0.166,,329.23
0,3,4,329.23,temperature,73.029,,329.23
0,3,4,329.23,pressure,26.9861,,329.23
0,3,4,329.23,humidity,47.6373,,329.23
0,7,0,330.73,torque,48.214,48.214,330.73
0,7,0,330.73,vibration,0.1794,0.1794,330.73
0,7,0,330.73,temperature,68.8269,68.8269,330.73
0,7,0,330.73,pressure,30.6701,30.6701,330.73
0,7,0,330.73,humidity,44.9982,44.9982,330.73
0,4,3,341.7,torque,50.8253,50.8253,341.7
0,4,3,341.7,vibration,0.2026,0.2026,341.7
0,4,3,341.7,temperature,68.0056,68.0056,341.7
0,4,3,341.7,pressure,31.4044,31.4044,341.7
0,4,3,341.7,humidity,45.2372,45.2372,341.7
0,5,2,342.11,torque,49.0971,49.0971,342.11
0,5,2,342.11,vibration,0.2046,0.2046,342.11
0,5,2,342.11,temperature,68.4527,68.4527,342.11
0,5,2,342.11,pressure,30.8135,30.8135,342.11
0,5,2,342.11,humidity,45.2843,45.2843,342.11
0,6,1,342.11,torque,49.207,49.207,342.11
0,6,1,342.11,vibration,0.2495,0.2495,342.11
0,6,1,342.11,temperature,70.6368,70.6368,342.11
0,6,1,342.11,pressure,30.9325,30.9325,342.11
0,6,1,342.11,humidity,45.0281,45.0281,342.11
0,8,0,382.78,torque,49.7008,49.7008,382.78
0,8,0,382.78,vibration,0.2179,0.2179,382.78
0,8,0,382.78,temperature,73.9995,73.9995,382.78
0,8,0,382.78,pressure,32.2181,32.2181,382.78
0,8,0,382.78,humidity,46.7085,46.7085,382.78
0,3,5,384.12,torque,49.3565,49.3565,384.12
0,3,5,384.12,vibration,0.2125,0.2125,384.12
0,3,5,384.12,temperature,71.3652,71.3652,384.12
0,3,5,384.12,pressure,29.55,29.55,384.12
0,3,5,384.12,humidity,47.2,47.2,384.12
0,6,2,384.56,torque,50.1038,50.1038,384.56
0,6,2,384.56,vibration,0.2325,0.2325,384.56
0,6,2,384.56,temperature,70.3962,70.3962,384.56
0,6,2,384.56,pressure,31.0696,31.0696,384.56
0,6,2,384.56,humidity,44.9999,44.9999,384.56
0,7,1,384.56,torque,50.2614,50.2614,384.56
0,7,1,384.56,vibration,0.228,0.228,384.56
0,7,1,384.56,temperature,69.6121,69.6121,384.56
0,7,1,384.56,pressure,29.8861,29.8861,384.56
0,7,1,384.56,humidity,44.7212,44.7212,384.56
0,4,4,387.44,torque,50.0977,,387.44
0,4,4,387.44,vibration,0.1603,,387.44
0,4,4,387.44,temperature,68.4669,,387.44
0,4,4,387.44,pressure,29.2178,,387.44
0,4,4,387.44,humidity,49.1897,,387.44
0,5,3,387.44,torque,50.8449,50.8449,387.44
0,5,3,387.44,vibration,0.1837,0.1837,387.44
0,5,3,387.44,temperature,72.8652,72.8652,387.44
0,5,3,387.44,pressure,27.8804,27.8804,387.44
0,5,3,387.44,humidity,45.5642,45.5642,387.44
0,1,7,392.33,torque,52.5487,52.5487,392.33
0,1,7,392.33,vibration,0.1873,0.1873,392.33
0,1,7,392.33,temperature,71.0776,71.0776,392.33
0,1,7,392.33,pressure,29.8713,29.8713,392.33
0,1,7,392.33,humidity,43.3735,43.3735,392.33
0,2,6,392.33,torque,49.1379,49.1379,392.33
0,2,6,392.33,vibration,0.2921,0.2921,392.33
0,2,6,392.33,temperature,72.657,72.657,392.33
0,2,6,392.33,pressure,27.2176,27.2176,392.33
0,2,6,392.33,humidity,44.6309,44.6309,392.33
0,8,1,432.76,torque,50.0834,50.0834,432.76
0,8,1,432.76,vibration,0.2142,0.2142,432.76
0,8,1,432.76,temperature,72.7896,72.7896,432.76
0,8,1,432.76,pressure,28.5164,28.5164,432.76
0,8,1,432.76,humidity,46.2624,46.2624,432.76
0,9,0,432.76,torque,51.5048,51.5048,432.76
0,9,0,432.76,vibration,0.2113,0.2113,432.76
0,9,0,432.76,temperature,69.6313,69.6313,432.76
0,9,0,432.76,pressure,32.9886,32.9886,432.76
0,9,0,432.76,humidity,47.1358,47.1358,432.76
0,6,3,435.15,torque,53.0244,53.0244,435.15
0,6,3,435.15,vibration,0.2454,0.2454,435.15
0,6,3,435.15,temperature,69.9821,69.9821,435.15
0,6,3,435.15,pressure,30.9576,30.9576,435.15
0,6,3,435.15,humidity,45.7865,45.7865,435.15
0,7,2,435.15,torque,49.0245,49.0245,435.15
0,7,2,435.15,vibration,0.2589,0.2589,435.15
0,7,2,435.15,temperature,70.5368,70.5368,435.15
0,7,2,435.15,pressure,26.9215,26.9215,435.15
0,7,2,435.15,humidity,44.6174,44.6174,435.15
0,4,5,438.53,torque,50.459,50.459,438.53
0,4,5,438.53,vibration,0.2095,0.2095,438.53
0,4,5,438.53,temperature,69.8345,69.8345,438.53
0,4,5,438.53,pressure,29.4949,29.4949,438.53
0,4,5,438.53,humidity,48.2837,48.2837,438.53
0,5,4,438.53,torque,51.7369,,438.53
0,5,4,438.53,vibration,0.228,,438.53
0,5,4,438.53,temperature,69.65,,438.53
0,5,4,438.53,pressure,30.0392,,438.53
0,5,4,438.53,humidity,47.8035,,438.53
0,1,8,446.15,torque,48.232,48.232,446.15
0,1,8,446.15,vibration,0.2047,0.2047,446.15
0,1,8,446.15,temperature,71.4428,71.4428,446.15
0,1,8,446.15,pressure,28.9868,28.9868,446.15
0,1,8,446.15,humidity,44.6578,44.6578,446.15
0,2,7,450.96,torque,52.9152,52.9152,450.96
0,2,7,450.96,vibration,0.1652,0.1652,450.96
0,2,7,450.96,temperature,71.7916,71.7916,450.96
0,2,7,450.96,pressure,29.107,29.107,450.96
0,2,7,450.96,humidity,43.6147,43.6147,450.96
0,3,6,450.96,torque,48.9301,48.9301,450.96
0,3,6,450.96,vibration,0.1841,0.1841,450.96
0,3,6,450.96,temperature,71.6464,71.6464,450.96
0,3,6,450.96,pressure,33.4883,33.4883,450.96
0,3,6,450.96,humidity,44.3598,44.3598,450.96
0,10,0,478.13,torque,47.5451,47.5451,478.13
0,10,0,478.13,vibration,0.2219,0.2219,478.13
0,10,0,478.13,temperature,69.6449,69.6449,478.13
0,10,0,478.13,pressure,30.0163,30.0163,478.13
0,10,0,478.13,humidity,46.7475,46.7475,478.13
0,6,4,484.34,torque,50.618,,484.34
0,6,4,484.34,vibration,0.2116,,484.34
0,6,4,484.34,temperature,70.3711,,484.34
0,6,4,484.34,pressure,29.0643,,484.34
0,6,4,484.34,humidity,47.1701,,484.34
0,1,9,487.14,torque,50.4958,,487.14
0,1,9,487.14,vibration,0.1548,,487.14
0,1,9,487.14,temperature,70.2166,,487.14
0,1,9,487.14,pressure,31.9514,,487.14
0,1,9,487.14,humidity,44.6732,,487.14
0,9,1,488.68,torque,48.2389,48.2389,488.68
0,9,1,488.68,vibration,0.194,0.194,488.68
0,9,1,488.68,temperature,69.1024,69.1024,488.68
0,9,1,488.68,pressure,35.7675,35.7675,488.68
0,9,1,488.68,humidity,45.7027,45.7027,488.68
0,7,3,493.47,torque,49.7674,49.7674,493.47
0,7,3,493.47,vibration,0.2265,0.2265,493.47
0,7,3,493.47,temperature,69.8013,69.8013,493.47
0,7,3,493.47,pressure,29.6812,29.6812,493.47
0,7,3,493.47,humidity,45.2683,45.2683,493.47
0,8,2,493.47,torque,48.1018,48.1018,493.47
0,8,2,493.47,vibration,0.2494,0.2494,493.47
0,8,2,493.47,temperature,74.7144,74.7144,493.47
0,8,2,493.47,pressure,27.5815,27.5815,493.47
0,8,2,493.47,humidity,43.3701,43.3701,493.47
0,5,5,500.43,torque,48.2936,48.2936,500.43
0,5,5,500.43,vibration,0.1947,0.1947,500.43
0,5,5,500.43,temperature,68.1341,68.1341,500.43
0,5,5,500.43,pressure,29.6646,29.6646,500.43
0,5,5,500.43,humidity,47.3455,47.3455,500.43
0,2,8,505.48,torque,48.83,48.83,505.48
0,2,8,505.48,vibration,0.1752,0.1752,505.48
0,2,8,505.48,temperature,66.5426,66.5426,505.48
0,2,8,505.48,pressure,29.8499,29.8499,505.48
0,2,8,505.48,humidity,44.6942,44.6942,505.48
0,3,7,520.81,torque,49.7065,49.7065,520.81
0,3,7,520.81,vibration,0.2102,0.2102,520.81
0,3,7,520.81,temperature,68.935,68.935,520.81
0,3,7,520.81,pressure,29.4214,29.4214,520.81
0,3,7,520.81,humidity,42.849,42.849,520.81
0,4,6,520.81,torque,51.6974,51.6974,520.81
0,4,6,520.81,vibration,0.1675,0.1675,520.81
0,4,6,520.81,temperature,72.0083,72.0083,520.81
0,4,6,520.81,pressure,31.383,31.383,520.81
0,4,6,520.81,humidity,43.3684,43.3684,520.81
0,1,10,525.04,torque,48.4792,48.4792,525.04
0,1,10,525.04,vibration,0.188,0.188,525.04
0,1,10,525.04,temperature,72.7971,72.7971,525.04
0,1,10,525.04,pressure,31.2567,31.2567,525.04
0,1,10,525.04,humidity,42.4461,42.4461,525.04
0,11,0,538.07,torque,49.4296,49.4296,538.07
0,11,0,538.07,vibration,0.1613,0.1613,538.07
0,11,0,538.07,temperature,70.7049,70.7049,538.07
0,11,0,538.07,pressure,30.3039,30.3039,538.07
0,11,0,538.07,humidity,45.9246,45.9246,538.07
0,6,5,541.59,torque,50.4885,50.4885,541.59
0,6,5,541.59,vibration,0.2299,0.2299,541.59
0,6,5,541.59,temperature,67.8482,67.8482,541.59
0,6,5,541.59,pressure,27.458,27.458,541.59
0,6,5,541.59,humidity,47.581,47.581,541.59
0,7,4,541.59,torque,52.81,,541.59
0,7,4,541.59,vibration,0.204,,541.59
0,7,4,541.59,temperature,68.9776,,541.59
0,7,4,541.59,pressure,30.7579,,541.59
0,7,4,541.59,humidity,48.2094,,541.59
0,2,9,545.15,torque,48.691,,545.15
0,2,9,545.15,vibration,0.2286,,545.15
0,2,9,545.15,temperature,73.4906,,545.15
0,2,9,545.15,pressure,29.5577,,545.15
0,2,9,545.15,humidity,44.1481,,545.15
0,8,3,549.53,torque,50.5599,50.5599,549.53
0,8,3,549.53,vibration,0.1945,0.1945,549.53
0,8,3,549.53,temperature,68.2907,68.2907,549.53
0,8,3,549.53,pressure,28.4621,28.4621,549.53
0,8,3,549.53,humidity,46.2533,46.2533,549.53
0,9,2,550.58,torque,50.7017,50.7017,550.58
0,9,2,550.58,vibration,0.2124,0.2124,550.58
0,9,2,550.58,temperature,69.2872,69.2872,550.58
0,9,2,550.58,pressure,28.2677,28.2677,550.58
0,9,2,550.58,humidity,44.5916,44.5916,550.58
0,10,1,550.58,torque,52.9841,52.9841,550.58
0,10,1,550.58,vibration,0.196,0.196,550.58
0,10,1,550.58,temperature,67.1486,67.1486,550.58
0,10,1,550.58,pressure,27.4439,27.4439,550.58
0,10,1,550.58,humidity,46.2762,46.2762,550.58
0,3,8,561.54,torque,49.0841,49.0841,561.54
0,3,8,561.54,vibration,0.2162,0.2162,561.54
0,3,8,561.54,temperature,67.8956,67.8956,561.54
0,3,8,561.54,pressure,31.367,31.367,561.54
0,3,8,561.54,humidity,45.7255,45.7255,561.54
0,1,11,573.02,torque,51.9866,51.9866,573.02
0,1,11,573.02,vibration,0.2829,0.2829,573.02
0,1,11,573.02,temperature,70.8236,70.8236,573.02
0,1,11,573.02,pressure,26.7216,26.7216,573.02
0,1,11,573.02,humidity,46.0035,46.0035,573.02
0,12,0,588.19,torque,48.7481,48.7481,588.19
0,12,0,588.19,vibration,0.1608,0.1608,588.19
0,12,0,588.19,temperature,70.4815,70.4815,588.19
0,12,0,588.19,pressure,34.0044,34.0044,588.19
0,12,0,588.19,humidity,46.685,46.685,588.19
0,7,5,593.49,torque,48.6973,48.6973,593.49
0,7,5,593.49,vibration,0.1895,0.1895,593.49
0,7,5,593.49,temperature,67.7397,67.7397,593.49
0,7,5,593.49,pressure,29.3917,29.3917,593.49
0,7,5,593.49,humidity,48.3426,48.3426,593.49
0,8,4,593.49,torque,50.8643,,593.49
0,8,4,593.49,vibration,0.2066,,593.49
0,8,4,593.49,temperature,73.7729,,593.49
0,8,4,593.49,pressure,30.4553,,593.49
0,8,4,593.49,humidity,49.1346,,593.49
0,4,7,593.6,torque,48.3423,48.3423,593.6
0,4,7,593.6,vibration,0.1955,0.1955,593.6
0,4,7,593.6,temperature,71.9323,71.9323,593.6
0,4,7,593.6,pressure,31.3123,31.3123,593.6
0,4,7,593.6,humidity,42.7324,42.7324,593.6
0,5,6,593.6,torque,48.1668,48.1668,593.6
0,5,6,593.6,vibration,0.2188,0.2188,593.6
0,5,6,593.6,temperature,70.4839,70.4839,593.6
0,5,6,593.6,pressure,26.3631,26.3631,593.6
0,5,6,593.6,humidity,43.5659,43.5659,593.6
0,2,10,594.01,torque,49.1297,49.1297,594.01
0,2,10,594.01,vibration,0.2037,0.2037,594.01
0,2,10,594.01,temperature,67.2353,67.2353,594.01
0,2,10,594.01,pressure,28.8418,28.8418,594.01
0,2,10,594.01,humidity,43.2979,43.2979,594.01
0,9,3,596.21,torque,49.9681,49.9681,596.21
0,9,3,596.21,vibration,0.1943,0.1943,596.21
0,9,3,596.21,temperature,71.3987,71.3987,596.21
0,9,3,596.21,pressure,29.5457,29.5457,596.21
0,9,3,596.21,humidity,47.8175,47.8175,596.21
0,10,2,606.26,torque,51.595,51.595,606.26
0,10,2,606.26,vibration,0.213,0.213,606.26
0,10,2,606.26,temperature,71.0866,71.0866,606.26
0,10,2,606.26,pressure,28.0044,28.0044,606.26
0,10,2,606.26,humidity,45.4483,45.4483,606.26
0,11,1,606.26,torque,50.7352,50.7352,606.26
0,11,1,606.26,vibration,0.1935,0.1935,606.26
0,11,1,606.26,temperature,69.7332,69.7332,606.26
0,11,1,606.26,pressure,33.1619,33.1619,606.26
0,11,1,606.26,humidity,45.6987,45.6987,606.26
0,3,9,606.38,torque,48.653,,606.38
0,3,9,606.38,vibration,0.1862,,606.38
0,3,9,606.38,temperature,70.1527,,606.38
0,3,9,606.38,pressure,31.201,,606.38
0,3,9,606.38,humidity,43.9638,,606.38
0,4,8,632.16,torque,50.4787,50.4787,632.16
0,4,8,632.16,vibration,0.1866,0.1866,632.16
0,4,8,632.16,temperature,68.655,68.655,632.16
0,4,8,632.16,pressure,31.808,31.808,632.16
0,4,8,632.16,humidity,45.9932,45.9932,632.16
0,13,0,643.99,torque,51.2771,51.2771,643.99
0,13,0,643.99,vibration,0.1454,0.1454,643.99
0,13,0,643.99,temperature,71.3323,71.3323,643.99
0,13,0,643.99,pressure,26.8314,26.8314,643.99
0,13,0,643.99,humidity,48.1466,48.1466,643.99
0,2,11,644.53,torque,48.5581,48.5581,644.53
0,2,11,644.53,vibration,0.1932,0.1932,644.53
0,2,11,644.53,temperature,69.834,69.834,644.53
0,2,11,644.53,pressure,28.4336,28.4336,644.53
0,2,11,644.53,humidity,46.556,46.556,644.53
0,10,3,646.37,torque,49.1368,49.1368,646.37
0,10,3,646.37,vibration,0.1862,0.1862,646.37
0,10,3,646.37,temperature,71.0584,71.0584,646.37
0,10,3,646.37,pressure,24.116,24.116,646.37
0,10,3,646.37,humidity,48.2845,48.2845,646.37
0,3,10,654.54,torque,49.4757,49.4757,654.54
0,3,10,654.54,vibration,0.1374,0.1374,654.54
0,3,10,654.54,temperature,70.7226,70.7226,654.54
0,3,10,654.54,pressure,27.5788,27.5788,654.54
0,3,10,654.54,humidity,44.6517,44.6517,654.54
0,11,2,655.59,torque,51.1778,51.1778,655.59
0,11,2,655.59,vibration,0.1713,0.1713,655.59
0,11,2,655.59,temperature,73.2997,73.2997,655.59
0,11,2,655.59,pressure,32.7138,32.7138,655.59
0,11,2,655.59,humidity,44.852,44.852,655.59
0,12,1,655.59,torque,51.8591,51.8591,655.59
0,12,1,655.59,vibration,0.1857,0.1857,655.59
0,12,1,655.59,temperature,67.2807,67.2807,655.59
0,12,1,655.59,pressure,27.1337,27.1337,655.59
0,12,1,655.59,humidity,46.8664,46.8664,655.59
0,8,5,657.83,torque,49.5806,49.5806,657.83
0,8,5,657.83,vibration,0.1969,0.1969,657.83
0,8,5,657.83,temperature,71.4926,71.4926,657.83
0,8,5,657.83,pressure,29.8064,29.8064,657.83
0,8,5,657.83,humidity,49.495,49.495,657.83
0,9,4,657.83,torque,51.138,,657.83
0,9,4,657.83,vibration,0.1703,,657.83
0,9,4,657.83,temperature,69.2509,,657.83
0,9,4,657.83,pressure,28.3995,,657.83
0,9,4,657.83,humidity,48.9852,,657.83
0,5,7,684.97,torque,49.5284,49.5284,684.97
0,5,7,684.97,vibration,0.1885,0.1885,684.97
0,5,7,684.97,temperature,65.6431,65.6431,684.97
0,5,7,684.97,pressure,28.2342,28.2342,684.97
0,5,7,684.97,humidity,43.9252,43.9252,684.97
0,6,6,684.97,torque,50.1694,50.1694,684.97
0,6,6,684.97,vibration,0.1555,0.1555,684.97
0,6,6,684.97,temperature,65.1691,65.1691,684.97
0,6,6,684.97,pressure,28.3211,28.3211,684.97
0,6,6,684.97,humidity,43.7254,43.7254,684.97
0,4,9,688.91,torque,50.9422,,688.91
0,4,9,688.91,vibration,0.1549,,688.91
0,4,9,688.91,temperature,68.5265,,688.91
0,4,9,688.91,pressure,33.8133,,688.91
0,4,9,688.91,humidity,42.2483,,688.91
0,14,0,689.94,torque,51.1689,51.1689,689.94
0,14,0,689.94,vibration,0.2076,0.2076,689.94
0,14,0,689.94,temperature,69.2226,69.2226,689.94
0,14,0,689.94,pressure,33.3111,33.3111,689.94
0,14,0,689.94,humidity,47.6243,47.6243,689.94
0,11,3,700.87,torque,49.2656,49.2656,700.87
0,11,3,700.87,vibration,0.166,0.166,700.87
0,11,3,700.87,temperature,67.5799,67.5799,700.87
0,11,3,700.87,pressure,30.8654,30.8654,700.87
0,11,3,700.87,humidity,47.3677,47.3677,700.87
0,12,2,708.45,torque,48.672,48.672,708.45
0,12,2,708.45,vibration,0.1597,0.1597,708.45
0,12,2,708.45,temperature,66.7987,66.7987,708.45
0,12,2,708.45,pressure,30.0687,30.0687,708.45
0,12,2,708.45,humidity,44.0993,44.0993,708.45
0,13,1,708.45,torque,50.1156,50.1156,708.45
0,13,1,708.45,vibration,0.1999,0.1999,708.45
0,13,1,708.45,temperature,68.4079,68.4079,708.45
0,13,1,708.45,pressure,27.0448,27.0448,708.45
0,13,1,708.45,humidity,45.7018,45.7018,708.45
0,3,11,712.4,torque,50.8517,50.8517,712.4
0,3,11,712.4,vibration,0.1624,0.1624,712.4
0,3,11,712.4,temperature,70.8121,70.8121,712.4
0,3,11,712.4,pressure,30.6513,30.6513,712.4
0,3,11,712.4,humidity,47.9808,47.9808,712.4
0,10,4,714.42,torque,50.5294,,714.42
0,10,4,714.42,vibration,0.221,,714.42
0,10,4,714.42,temperature,67.3888,,714.42
0,10,4,714.42,pressure,33.0652,,714.42
0,10,4,714.42,humidity,49.6636,,714.42
0,9,5,725.06,torque,49.0568,49.0568,725.06
0,9,5,725.06,vibration,0.2209,0.2209,725.06
0,9,5,725.06,temperature,68.9077,68.9077,725.06
0,9,5,725.06,pressure,32.9023,32.9023,725.06
0,9,5,725.06,humidity,48.7075,48.7075,725.06
0,5,8,725.99,torque,47.8957,47.8957,725.99
0,5,8,725.99,vibration,0.2033,0.2033,725.99
0,5,8,725.99,temperature,72.7399,72.7399,725.99
0,5,8,725.99,pressure,30.8233,30.8233,725.99
0,5,8,725.99,humidity,46.1598,46.1598,725.99
0,4,10,729.05,torque,48.835,48.835,729.05
0,4,10,729.05,vibration,0.168,0.168,729.05
0,4,10,729.05,temperature,71.5373,71.5373,729.05
0,4,10,729.05,pressure,29.2329,29.2329,729.05
0,4,10,729.05,humidity,44.9397,44.9397,729.05
0,15,0,739.19,torque,46.8815,46.8815,739.19
0,15,0,739.19,vibration,0.2168,0.2168,739.19
0,15,0,739.19,temperature,68.6517,68.6517,739.19
0,15,0,739.19,pressure,27.4752,27.4752,739.19
0,15,0,739.19,humidity,46.8227,46.8227,739.19
0,12,3,758.95,torque,50.2815,50.2815,758.95
0,12,3,758.95,vibration,0.2683,0.2683,758.95
0,12,3,758.95,temperature,71.0741,71.0741,758.95
0,12,3,758.95,pressure,31.5344,31.5344,758.95
0,12,3,758.95,humidity,47.49,47.49,758.95
0,6,7,764.09,torque,48.2223,48.2223,764.09
0,6,7,764.09,vibration,0.2191,0.2191,764.09
0,6,7,764.09,temperature,70.5727,70.5727,764.09
0,6,7,764.09,pressure,28.3459,28.3459,764.09
0,6,7,764.09,humidity,44.4902,44.4902,764.09
0,7,6,764.09,torque,51.6304,51.6304,764.09
0,7,6,764.09,vibration,0.1511,0.1511,764.09
0,7,6,764.09,temperature,70.7255,70.7255,764.09
0,7,6,764.09,pressure,29.9862,29.9862,764.09
0,7,6,764.09,humidity,44.6332,44.6332,764.09
0,11,4,765.15,torque,49.9161,,765.15
0,11,4,765.15,vibration,0.1821,,765.15
0,11,4,765.15,temperature,68.3015,,765.15
0,11,4,765.15,pressure,33.5034,,765.15
0,11,4,765.15,humidity,49.3923,,765.15
0,5,9,766.47,torque,47.915,,766.47
0,5,9,766.47,vibration,0.2497,,766.47
0,5,9,766.47,temperature,69.9432,,766.47
0,5,9,766.47,pressure,29.3685,,766.47
0,5,9,766.47,humidity,43.5297,,766.47
0,13,2,773.71,torque,47.3035,47.3035,773.71
0,13,2,773.71,vibration,0.2181,0.2181,773.71
0,13,2,773.71,temperature,70.4875,70.4875,773.71
0,13,2,773.71,pressure,30.3622,30.3622,773.71
0,13,2,773.71,humidity,45.377,45.377,773.71
0,14,1,773.71,torque,49.9928,49.9928,773.71
0,14,1,773.71,vibration,0.1989,0.1989,773.71
0,14,1,773.71,temperature,69.0795,69.0795,773.71
0,14,1,773.71,pressure,29.6278,29.6278,773.71
0,14,1,773.71,humidity,45.1139,45.1139,773.71
0,4,11,781.29,torque,50.7486,50.7486,781.29
0,4,11,781.29,vibration,0.2027,0.2027,781.29
0,4,11,781.29,temperature,72.2104,72.2104,781.29
0,4,11,781.29,pressure,26.8717,26.8717,781.29
0,4,11,781.29,humidity,47.5297,47.5297,781.29
0,10,5,782.66,torque,48.7026,48.7026,782.66
0,10,5,782.66,vibration,0.1966,0.1966,782.66
0,10,5,782.66,temperature,69.7916,69.7916,782.66
0,10,5,782.66,pressure,34.5847,34.5847,782.66
0,10,5,782.66,humidity,47.1089,47.1089,782.66
0,16,0,790.07,torque,49.5621,49.5621,790.07
0,16,0,790.07,vibration,0.2122,0.2122,790.07
0,16,0,790.07,temperature,70.0688,70.0688,790.07
0,16,0,790.07,pressure,29.2707,29.2707,790.07
0,16,0,790.07,humidity,46.9311,46.9311,790.07
0,5,10,810.9,torque,48.9963,48.9963,810.9
0,5,10,810.9,vibration,0.2014,0.2014,810.9
0,5,10,810.9,temperature,71.7373,71.7373,810.9
0,5,10,810.9,pressure,29.956,29.956,810.9
0,5,10,810.9,humidity,45.0184,45.0184,810.9
0,6,8,814.11,torque,48.9098,48.9098,814.11
0,6,8,814.11,vibration,0.2013,0.2013,814.11
0,6,8,814.11,temperature,68.3364,68.3364,814.11
0,6,8,814.11,pressure,27.6916,27.6916,814.11
0,6,8,814.11,humidity,44.9229,44.9229,814.11
0,13,3,823.1,torque,48.068,48.068,823.1
0,13,3,823.1,vibration,0.1987,0.1987,823.1
0,13,3,823.1,temperature,67.5875,67.5875,823.1
0,13,3,823.1,pressure,33.6357,33.6357,823.1
0,13,3,823.1,humidity,47.911,47.911,823.1
0,14,2,829.54,torque,49.5112,49.5112,829.54
0,14,2,829.54,vibration,0.2045,0.2045,829.54
0,14,2,829.54,temperature,66.4021,66.4021,829.54
0,14,2,829.54,pressure,26.4037,26.4037,829.54
0,14,2,829.54,humidity,46.1969,46.1969,829.54
0,15,1,829.54,torque,47.9971,47.9971,829.54
0,15,1,829.54,vibration,0.2065,0.2065,829.54
0,15,1,829.54,temperature,68.9871,68.9871,829.54
0,15,1,829.54,pressure,29.7566,29.7566,829.54
0,15,1,829.54,humidity,46.77,46.77,829.54
0,11,5,831.36,torque,51.2287,51.2287,831.36
0,11,5,831.36,vibration,0.2027,0.2027,831.36
0,11,5,831.36,temperature,68.3728,68.3728,831.36
0,11,5,831.36,pressure,29.222,29.222,831.36
0,11,5,831.36,humidity,48.0447,48.0447,831.36
0,12,4,831.36,torque,49.8217,,831.36
0,12,4,831.36,vibration,0.2321,,831.36
